shopName,lat,lng
茂名餐厅,31.23526734,121.4658399
翔川餐厅,31.24916171,121.4878995
动力南广场餐厅,31.15761586,121.4367574
江苏餐厅,31.22514348,121.4371953
威宁餐厅,31.22072048,121.3945693
思贤餐厅,31.03509082,121.2373754
惠乐餐厅,31.05404216,121.7415707
柳州餐厅,31.1606472,121.4340622
真北餐厅,31.26587099,121.4007091
马陆弘基餐厅,31.34247465,121.2884385
南方商城餐厅,31.13722532,121.4074712
银霄餐厅,31.2112855,121.5656314
吴中餐厅,31.18240425,121.3928084
阳光港餐厅,31.10248071,121.2221812
新福海餐厅,31.25746927,121.4912774
年家浜餐厅,31.12101721,121.575443
三阳餐厅,31.24158636,121.4851392
长岛餐厅,31.26670008,121.5985311
金桥餐厅,31.26441047,121.584264
保乐餐厅,31.21647088,121.299575
新港汇餐厅,31.2013631,121.4445009
名都餐厅,31.11331085,121.3915784
香港广场餐厅,31.22973156,121.4814723
柳州2餐厅,31.24916171,121.4878995
高青餐厅,31.15525448,121.5000859
谷阳餐厅,31.01153334,121.2407637
南广场餐厅,31.25463278,121.4612642
莘漕餐厅,31.16289328,121.3848679
锦尊餐厅,31.18604218,121.5399761
机场西楼安检餐厅,31.20016713,121.3555547
机场西楼到达餐厅,31.20016713,121.3555547
瑞金餐厅,31.21179412,121.4747773
市百餐厅,31.24154198,121.4809098
北广场餐厅,31.25463278,121.4612642
东安路站餐厅,31.1977903,121.4605937
新凌云餐厅,31.14259375,121.4259093
坂桥餐厅,30.73712664,121.3578239
新天山餐厅,31.21713464,121.4118734
虹桥高铁餐厅,31.19237706,121.3341401
正大精选餐厅,31.2424903,121.5058818
磁浮精选餐厅,31.24916171,121.4878995
南站精选餐厅,31.1606472,121.4340622
上海滩餐厅,31.10248071,121.2221812
金矿镇餐厅,31.10248071,121.2221812
太平洋精选餐厅,31.20111484,121.4450134
港汇精选餐厅,31.2011882,121.4436982
高铁精选餐厅,31.19982188,121.32714
动力南精选餐厅,31.1606472,121.4340622
政民餐厅,31.30763946,121.5126236
昌平餐厅,31.23983307,121.4496036
塘桥餐厅,31.2165981,121.5245555
百齐餐厅,30.91819281,121.4912829
联明餐厅,31.14099472,121.5224776
金谊餐厅,31.14786982,121.5204534
蒙山餐厅,30.73497074,121.3506912
永业餐厅,31.21453323,121.4834416
华绣餐厅,31.18451924,121.54068
泗宝餐厅,31.12214253,121.2685012
中华新餐厅,31.25991225,121.4705777
石龙餐厅,31.15969551,121.4398145
沪西餐厅,31.24420842,121.4253955
美兰餐厅,31.40903606,121.3569643
莘龙餐厅,31.11457168,121.3851924
邯郸餐厅,31.304717,121.5199545
叶榭餐厅,30.94848904,121.3251418
嘉华餐厅,31.27597928,121.4207993
光大餐厅,31.17390329,121.4347342
龙翔餐厅,30.75198388,121.3434508
宋园餐厅,31.20214804,121.4198645
高行餐厅,31.29908148,121.6173842
云岭餐厅,31.23069887,121.4024319
金运餐厅,31.24714408,121.337327
顾村餐厅,31.3608266,121.418708
昌里餐厅,31.17933571,121.5016194
虹许餐厅,31.18546146,121.4002835
曹安餐厅,31.25892075,121.3739749
华新餐厅,31.24884843,121.2438698
景畔餐厅,31.22904515,121.4014449
新宜街餐厅,31.18171214,121.4233643
秀山餐厅,31.1985704,121.4325624
