id,shopName,lat,lng
1,上海麦当劳静安寺餐厅,31.223691,121.443934
2,上海麦当劳南京东路餐厅 * ,31.235831,121.479422
3,上海麦当劳上海广场餐厅,31.224999,121.478363
4,上海麦当劳北广场餐厅 * ,31.252384,121.455194
5,上海麦当劳华漕餐厅,31.20942,121.292174
6,上海麦当劳莘松路餐厅,31.097893,121.351464
7,上海麦当劳天山西路餐厅,31.217212,121.372907
8,上海麦当劳洛川东路餐厅,31.271459,121.456179
9,上海麦当劳兰溪路餐厅,31.239705,121.40516
10,上海麦当劳福州路餐厅,31.232813,121.479847
11,上海麦当劳沪宜餐厅,31.369143,121.257143
12,上海麦当劳七浦路餐厅,31.243614,121.482067
13,上海麦当劳轻轨曹杨路餐厅,31.239825,121.418238
14,上海麦当劳亚龙餐厅,31.226921,121.48019
15,上海麦当劳友谊百货餐厅,31.236495,121.483974
16,上海麦当劳四平路餐厅,31.260958,121.48889
17,上海麦当劳打浦桥餐厅,31.204724,121.467755
18,上海麦当劳四川北路餐厅,31.257061,121.479149
19,上海麦当劳龙阳路餐厅,31.203142,121.558005
20,上海麦当劳新国际会展中心 * ,31.205927,121.564888
21,上海麦当劳上海南站南餐厅 * ,31.151776,121.431177
22,上海麦当劳九亭餐厅,31.146705,121.316064
23,上海麦当劳飞洲国际餐厅,31.183248,121.437122
24,上海麦当劳长江西路餐厅,31.331087,121.442211
25,上海麦当劳外高桥餐厅,31.316742,121.606961
26,上海麦当劳浦东南路餐厅,31.226679,121.51704
27,上海麦当劳新闸路餐厅,31.239064,121.467379
28,上海麦当劳东方路餐厅,31.225897,121.527295
29,上海麦当劳宝山餐厅,31.404277,121.482069
30,上海麦当劳航华餐厅,31.170743,121.349681
31,上海麦当劳殷高西路餐厅,31.320544,121.476224
32,上海麦当劳秣陵路餐厅,31.247218,121.454148
33,上海麦当劳周浦万达餐厅,31.113855,121.568408
34,上海麦当劳金桥餐厅,31.255821,121.579657
35,上海麦当劳塘桥餐厅,31.210458,121.516693
36,上海麦当劳牡丹江路餐厅,31.394523,121.487525
37,上海麦当劳张杨路餐厅,31.2286,121.51866
38,上海麦当劳长宁路二号餐厅,31.218538,121.4165
39,上海麦当劳五角场万达餐厅,31.300528,121.51455
40,上海麦当劳食品一店餐厅,31.235362,121.476869
41,上海麦当劳杨高南路餐厅,31.206738,121.530559
42,上海麦当劳陆家嘴餐厅,31.237406,121.500212
43,上海麦当劳七宝乐购餐厅,31.156394,121.347374
44,上海麦当劳梅川路餐厅,31.245775,121.376727
45,上海麦当劳虹梅路地铁站餐厅,31.142008,121.413851
46,上海麦当劳长寿路餐厅,31.239678,121.437421
47,上海麦当劳好又多长桥餐厅,31.136572,121.431749
48,上海麦当劳宝地广场餐厅,31.260614,121.511453
49,上海麦当劳富锦路地铁站餐厅,31.392644,121.424141
50,上海麦当劳中信泰富餐厅,31.227541,121.455145
51,上海麦当劳金沙江路餐厅,31.232144,121.398363
