date,close,high,low,open,priceChange
2014-12-31,"3,234.677","3,239.357","3,157.259","3,165.815",68.862
2014-12-30,"3,165.815","3,190.299","3,130.353","3,168.016",-2.201
2014-12-29,"3,168.016","3,223.86","3,126.944","3,157.603",10.413
2014-12-26,"3,157.603","3,164.155","3,064.176","3,072.536",85.067
2014-12-25,"3,072.536","3,073.345","2,969.874","2,972.532",100.004
2014-12-24,"2,972.532","3,050.507","2,934.911","3,032.612",-60.08
2014-12-23,"3,032.612","3,136.838","3,025.667","3,127.445",-94.833
2014-12-22,"3,127.445","3,189.867","3,090.509","3,108.596",18.849
2014-12-19,"3,108.596","3,117.527","3,018.421","3,057.521",51.075
2014-12-18,"3,057.521","3,089.791","3,030.319","3,061.02",-3.499
2014-12-17,"3,061.02","3,076.599","2,993.333","3,021.518",39.502
2014-12-16,"3,021.518","3,021.897","2,943.912","2,953.421",68.097
2014-12-15,"2,953.421","2,960.227","2,890.904","2,938.173",15.248
2014-12-12,"2,938.173","2,962.51","2,914.956","2,925.743",12.43
2014-12-11,"2,925.743","2,965.675","2,892.611","2,940.006",-14.263
2014-12-10,"2,940.006","2,946.707","2,807.678","2,856.269",83.737
2014-12-09,"2,856.269","3,091.324","2,834.592","3,020.258",-163.989
2014-12-08,"3,020.258","3,041.657","2,879.847","2,937.647",82.611
2014-12-05,"2,937.647","2,978.029","2,813.052","2,899.456",38.191
2014-12-04,"2,899.456","2,900.508","2,772.432","2,779.525",119.931
2014-12-03,"2,779.525","2,824.179","2,733.868","2,763.545",15.98
2014-12-02,"2,763.545","2,777.372","2,665.686","2,680.155",83.39
2014-12-01,"2,680.155","2,720.743","2,668.841","2,682.835",-2.68
2014-11-28,"2,682.835","2,683.18","2,622.061","2,630.486",52.349
2014-11-27,"2,630.486","2,631.399","2,599.108","2,604.345",26.141
2014-11-26,"2,604.345","2,605.07","2,570.404","2,567.597",36.748
2014-11-25,"2,567.597","2,568.381","2,527.077","2,532.879",34.718
2014-11-24,"2,532.879","2,546.746","2,495.521","2,486.791",46.088
2014-11-21,"2,486.791","2,488.201","2,446.646","2,452.66",34.131
2014-11-20,"2,452.66","2,458.319","2,437.476","2,450.986",1.674
2014-11-19,"2,450.986","2,461.491","2,442.71","2,456.366",-5.38
2014-11-18,"2,456.366","2,477.052","2,449.813","2,474.009",-17.643
2014-11-17,"2,474.009","2,508.767","2,472.446","2,478.824",-4.815
2014-11-14,"2,478.824","2,481.025","2,457.045","2,485.606",-6.782
2014-11-13,"2,485.606","2,507.743","2,471.407","2,494.476",-8.87
2014-11-12,"2,494.476","2,494.917","2,444.814","2,469.673",24.803
2014-11-11,"2,469.673","2,508.623","2,445.96","2,473.673",-4
2014-11-10,"2,473.673","2,474.156","2,428.185","2,418.171",55.502
2014-11-07,"2,418.171","2,454.423","2,407.442","2,425.864",-7.693
2014-11-06,"2,425.864","2,426.89","2,401.75","2,419.254",6.61
2014-11-05,"2,419.254","2,434.363","2,415.502","2,430.677",-11.423
2014-11-04,"2,430.677","2,435.223","2,417.221","2,430.032",0.645
2014-11-03,"2,430.032","2,436.785","2,418.167","2,420.178",9.854
2014-10-31,"2,420.178","2,423.596","2,384.483","2,391.076",29.102
2014-10-30,"2,391.076","2,397.256","2,365.919","2,373.03",18.046
2014-10-29,"2,373.03","2,381.643","2,339.712","2,337.871",35.159
2014-10-28,"2,337.871","2,338.278","2,294.012","2,290.437",47.434
2014-10-27,"2,290.437","2,293.644","2,279.836","2,302.28",-11.843
2014-10-24,"2,302.28","2,314.875","2,296.657","2,302.418",-0.138
2014-10-23,"2,302.418","2,329.927","2,297.33","2,326.553",-24.135
2014-10-22,"2,326.553","2,352.124","2,324.59","2,339.657",-13.104
2014-10-21,"2,339.657","2,361.653","2,337.551","2,356.728",-17.071
2014-10-20,"2,356.728","2,357.509","2,340.459","2,341.184",15.544
2014-10-17,"2,341.184","2,360.597","2,312.826","2,356.499",-15.315
2014-10-16,"2,356.499","2,389.675","2,353.406","2,373.67",-17.171
2014-10-15,"2,373.67","2,374.808","2,344.373","2,359.475",14.195
2014-10-14,"2,359.475","2,380.515","2,349.194","2,366.009",-6.534
2014-10-13,"2,366.009","2,366.862","2,341.124","2,374.54",-8.531
2014-10-10,"2,374.54","2,386.277","2,365.075","2,389.371",-14.831
2014-10-09,"2,389.371","2,391.348","2,367.111","2,382.794",6.577
2014-10-08,"2,382.794","2,382.794","2,354.29","2,363.87",18.924
2014-09-30,"2,363.87","2,365.491","2,354.268","2,357.711",6.159
2014-09-29,"2,357.711","2,363.059","2,346.579","2,347.718",9.993
