district,accident,time,place,lat,lng
3101176201400120,hurt,2014-8-29 18:30:00,泗陈公路出佘北公路东约2米,31.119125,121.279894
3101182201400410,dead,2014-8-12 22:55:00,嘉松中路出华隆路南约3000米,31.192216,121.2209598
3101158201500130,dead,2015-4-15 8:10:00,大川公路进周祝公路北约500米,31.062075,121.735112
3101121201400290,dead,2014-11-26 11:50:00,苏召路立跃路北约200米,31.102393,121.535795
3101155201400390,dead,2014-9-11 15:05:00,港城路出杨高北路西约300米,31.352999,121.574654
3101158201400290,dead,2014-7-2 7:18:00,康新公路进新卫路南约40米,31.046448,121.638948
3101173201400080,dead,2014-7-5 8:06:00,新绿街进新绿街新颖路西约150米,30.9316314,121.0709727
3101087201400020,hurt,2014-7-23 12:40:00,江场西路原平路东约5米,31.297226,121.43059
3101171201400100,damage,2014-7-19 10:35:00,辰花公路出光星路西约100米,31.06971,121.17762
3101087201400020,dead,2014-7-7 20:17:00,天目中路大统路东约1米,31.2447144,121.4641931
3102303201400110,dead,2014-9-25 16:15:00,协定公路协津公路西约500米,31.230416,121.473701
3101120201400170,dead,2014-7-7 23:39:00,剑川路进莲花南路东约300米,31.026444,121.416482
3101153201400320,dead,2014-7-21 17:22:00,御青路京浦路西约20米,31.1567579,121.5721033
3101170201400080,dead,2014-7-7 17:25:00,塔闵公路出松卫北路西约1000米,31.230416,121.473701
3101127201400170,dead,2014-7-17 18:05:00,沪闵路贵都路南约5米,31.075392,121.397259
3101128201400170,hurt,2014-7-16 22:23:00,春西路申旺路南约30米,31.07487,121.3747506
3101177201400120,dead,2014-8-23 22:58:00,昆港公路出新港路南约80米,31.005717,121.150109
3101151201400340,dead,2014-8-3 11:55:00,汇成路园西路东约1米,31.0341901,121.7156222
3101172201400090,dead,2014-7-11 15:33:00,滨湖路出新松江路南约100米,31.0384035,121.2067169
3101146201400140,dead,2014-10-30 22:50:00,外钱公路进墨玉北路东约300米,31.230416,121.473701
3101151201400410,dead,2014-9-18 19:25:00,东川公路上川路北约600米,31.230416,121.473701
3101124201400210,hurt,2014-9-3 12:16:00,春都路都庄路东约100米,31.0821164,121.4149997
3101173201400090,dead,2014-7-9 19:34:00,嘉松南路沈砖公路东北约20米,31.076136,121.2308705
3101129201400200,hurt,2014-8-24 20:07:00,三鲁公路立跃路北约400米,31.230416,121.473701
