fundCode,fundName,date,currentValue,totalValue,xPosition,yPosition
270010,广发沪深300,2015/11/13,1.647,1.937,458,412
270010,广发沪深300,2015/10/16,1.554,1.844,457,418
270010,广发沪深300,2015/9/11,1.465,1.755,456,423
270010,广发沪深300,2015/8/12,1.779,2.069,446,411
270010,广发沪深300,2015/7/15,1.743,2.033,444,414
270010,广发沪深300,2015/6/16,2.213,2.503,428,397
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
270010,广发沪深300,2015/5/19,2.071,2.361,429,405
