city,日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名
北京,2015/4/1,82,44~116,良,58.6,78.2,4.5,0.721,48.8,83,240
北京,2015/4/2,55,40~74,良,35.1,18.6,3.6,0.699,25.8,103,171
北京,2015/4/3,50,34~91,良,28.2,40.3,3.6,0.568,26.9,123,117
北京,2015/4/4,85,49~137,良,62.3,74.9,4.7,0.636,36.1,146,238
北京,2015/4/5,92,39~165,良,53,98.5,2.9,0.462,29.5,94,222
北京,2015/4/6,41,34~60,优,20.5,32.4,2.2,0.289,13.5,80,98
北京,2015/4/7,44,26~81,优,23,39.4,3.6,0.348,22.7,94,127
北京,2015/4/8,127,86~189,轻度污染,95.6,122.7,12.4,0.844,48.8,112,347
北京,2015/4/9,210,174~267,重度污染,161.7,189.9,16.6,1.192,58.9,135,365
北京,2015/4/10,192,85~264,中度污染,150.1,185.5,9,1.071,61.9,156,344
北京,2015/4/11,183,48~265,中度污染,141.4,76.5,16.3,1.747,46.4,150,337
北京,2015/4/12,40,31~59,优,11.9,26.1,2,0.264,12,88,40
北京,2015/4/13,53,43~75,良,26.4,38.8,2.8,0.374,22.3,131,100
北京,2015/4/14,76,60~89,良,54.1,83.8,5.3,0.705,54.4,137,194
北京,2015/4/15,215,86~500,重度污染,108.7,286,14.1,0.939,70,120,311
北京,2015/4/16,106,42~440,轻度污染,25.7,132,3,0.235,13.4,100,125
北京,2015/4/17,114,92~154,轻度污染,67.3,173.1,16,0.67,54.8,120,256
北京,2015/4/18,181,138~238,中度污染,137.7,272.5,26.9,1.497,88.7,116,351
北京,2015/4/19,94,65~148,良,59.8,132.5,5.6,0.608,29.9,107,279
北京,2015/4/20,93,52~149,良,66.6,112.4,6.7,0.781,43.2,133,291
北京,2015/4/21,101,46~179,轻度污染,62.7,129.1,8,0.642,43.8,116,276
北京,2015/4/22,77,55~93,良,43.2,100.2,8.2,0.61,48.8,154,232
北京,2015/4/23,84,57~122,良,54.2,107.7,10.6,0.618,49.1,115,212
北京,2015/4/24,104,83~120,轻度污染,51.9,155.2,7.3,0.626,47.4,150,289
北京,2015/4/25,109,85~127,轻度污染,71.6,158.2,12.4,0.832,64,187,277
北京,2015/4/26,145,111~202,轻度污染,98.3,181.8,19.8,0.969,52.8,252,335
北京,2015/4/27,116,60~157,轻度污染,81.2,133.8,12.2,0.899,45.9,214,289
北京,2015/4/28,64,43~99,良,43.5,68,5.1,0.711,38.8,154,137
北京,2015/4/29,152,117~191,中度污染,115,135.6,10.8,1.324,48,217,341
北京,2015/4/30,160,113~214,中度污染,114.2,146.1,11.3,1.067,43.4,226,341
上海,2015/4/1,85,45~124,良,61.1,71.8,16.6,0.928,68.9,89,258
上海,2015/4/2,64,35~126,良,41.9,67.4,13.3,0.67,43.5,148,197
上海,2015/4/3,94,59~130,良,69.3,55.6,14,1.232,43.9,89,274
上海,2015/4/4,87,50~167,良,63.3,75.5,13.5,1.226,49.8,91,219
上海,2015/4/5,76,41~158,良,54,49.1,12,0.949,43.8,89,200
上海,2015/4/6,45,40~59,优,19.4,22.7,8.1,0.607,26,98,134
上海,2015/4/7,46,41~58,优,20.3,39.1,9.4,0.452,27.6,93,150
上海,2015/4/8,47,40~56,优,27.6,40.9,12.2,0.439,34.5,113,126
上海,2015/4/9,49,39~63,优,27.6,46.2,11.7,0.454,46.3,124,110
上海,2015/4/10,64,53~76,良,42.9,56.5,13.7,0.562,52.3,132,170
上海,2015/4/11,64,40~89,良,42.5,61.2,13.2,0.52,47.9,145,154
上海,2015/4/12,79,67~91,良,51.3,69,13.3,0.553,43.3,165,248
上海,2015/4/13,73,58~95,良,45.7,80.8,15,0.646,34.6,105,234
上海,2015/4/14,90,59~116,良,65.9,78.6,15.3,0.796,47,133,252
